ability_name,ability_type,ability_attribute_tags,panel_cast_time,direct_property,periodic_property,school,database_coefficient
Curse of Agony,spell,dmg-dot-fixed,0,,1740-24-8,shadow,1.2
Corruption,spell,dmg-dot,0,,1090-18-6,shadow,1.2
Unstable Affliction,spell,dmg-dot,1.5,,1150-15-5,shadow,1
Unstable Affliction (dispel),spell,dmg-direct-fixed,1.5,2502-2511,,shadow,1.8
Haunt,spell,dmg-direct,1.5,645-753,,shadow,0.4286
Immolate,spell,dmg-hybrid-fixed,2,460-460,790-15-5,fire,0.2-1
Conflagrate,spell,dmg-direct,0,0-0,,fire,0
Shadowflame,spell,dmg-hybrid-fixed,0,615-671,644-8-4,shadow,0.1064-0.2668
Death Coil,spell,dmg-direct-fixed,0,800-800,,shadow,0.2143
Incinerate,spell,dmg-direct,2.5,727-845,,fire,0.7143
Searing Pain,spell,dmg-direct,1.5,347-410,,fire,0.4286
Shadow Bolt,spell,dmg-direct,3,694-775,,shadow,0.8571
Shadowburn,spell,dmg-direct,0,775-865,,shadow,0.4286
Shadowfury,spell,dmg-direct-aoe-fixed,0,968-1152,,shadow,0.1936
Soul Fire,spell,dmg-direct-fixed,6,1323-1657,,fire,1.15
Chaos Bolt,spell,dmg-direct,2.5,1429-1813,,fire,0.7142
Drain Life,spell,dmg-channel-fixed,5,675-5,,shadow,0.715
Drain Soul,spell,dmg-channel-fixed,15,720-5,,shadow,2.145
Rain of Fire,spell,dmg-channel-aoe-fixed,8,2708-4,,fire,1.32
Shadow Ward,spell,heal-direct-fixed,0,3300-3300,,absorb,0.807
